url,people,rate,type
https://leetcode.cn/problems/unique-email-addresses,559,0.686,easy
https://leetcode.cn/problems/number-of-recent-calls,885,0.767,easy
https://leetcode.cn/problems/range-sum-of-bst,1031,0.821,easy
https://leetcode.cn/problems/valid-mountain-array,826,0.397,easy
https://leetcode.cn/problems/di-string-match,808,0.774,easy
https://leetcode.cn/problems/delete-columns-to-make-sorted,514,0.691,easy
https://leetcode.cn/problems/verifying-an-alien-dictionary,713,0.576,easy
https://leetcode.cn/problems/n-repeated-element-in-size-2n-array,753,0.703,easy
https://leetcode.cn/problems/univalued-binary-tree,925,0.7,easy
https://leetcode.cn/problems/largest-perimeter-triangle,887,0.575,easy
https://leetcode.cn/problems/squares-of-a-sorted-array,3712,0.678,easy
https://leetcode.cn/problems/add-to-array-form-of-integer,817,0.454,easy
https://leetcode.cn/problems/cousins-in-binary-tree,1049,0.56,easy
https://leetcode.cn/problems/find-the-town-judge,892,0.517,easy
https://leetcode.cn/problems/available-captures-for-rook,648,0.694,easy
https://leetcode.cn/problems/find-common-characters,881,0.703,easy
https://leetcode.cn/problems/maximize-sum-of-array-after-k-negations,1614,0.51,easy
https://leetcode.cn/problems/complement-of-base-10-integer,365,0.586,easy
https://leetcode.cn/problems/partition-array-into-three-parts-with-equal-sum,1072,0.385,easy
https://leetcode.cn/problems/binary-prefix-divisible-by-5,460,0.505,easy
https://leetcode.cn/problems/remove-outermost-parentheses,1092,0.813,easy
https://leetcode.cn/problems/sum-of-root-to-leaf-binary-numbers,673,0.746,easy
https://leetcode.cn/problems/divisor-game,827,0.707,easy
https://leetcode.cn/problems/matrix-cells-in-distance-order,542,0.706,easy
https://leetcode.cn/problems/valid-boomerang,432,0.483,easy
https://leetcode.cn/problems/last-stone-weight,1275,0.652,easy
https://leetcode.cn/problems/remove-all-adjacent-duplicates-in-string,1760,0.723,easy
https://leetcode.cn/problems/actors-and-directors-who-cooperated-at-least-three-times,250,0.762,easy
https://leetcode.cn/problems/height-checker,703,0.801,easy
https://leetcode.cn/problems/confusing-number,149,0.445,easy
https://leetcode.cn/problems/fixed-point,109,0.647,easy
https://leetcode.cn/problems/index-pairs-of-a-string,111,0.561,easy
https://leetcode.cn/problems/product-sales-analysis-i,167,0.875,easy
https://leetcode.cn/problems/product-sales-analysis-ii,88,0.82,easy
https://leetcode.cn/problems/greatest-common-divisor-of-strings,923,0.581,easy
https://leetcode.cn/problems/project-employees-i,207,0.656,easy
https://leetcode.cn/problems/project-employees-ii,139,0.494,easy
https://leetcode.cn/problems/occurrences-after-bigram,535,0.651,easy
https://leetcode.cn/problems/sales-analysis-i,141,0.765,easy
https://leetcode.cn/problems/sales-analysis-ii,164,0.53,easy
https://leetcode.cn/problems/sales-analysis-iii,470,0.516,easy
https://leetcode.cn/problems/sum-of-digits-in-the-minimum-number,114,0.78,easy
https://leetcode.cn/problems/high-five,131,0.683,easy
https://leetcode.cn/problems/duplicate-zeros,810,0.582,easy
https://leetcode.cn/problems/two-sum-less-than-k,150,0.604,easy
https://leetcode.cn/problems/distribute-candies-to-people,1253,0.64,easy
https://leetcode.cn/problems/defanging-an-ip-address,1040,0.852,easy
https://leetcode.cn/problems/reported-posts,77,0.538,easy
https://leetcode.cn/problems/print-in-order,778,0.654,easy
https://leetcode.cn/problems/number-of-days-in-a-month,71,0.655,easy
https://leetcode.cn/problems/remove-vowels-from-a-string,192,0.872,easy
https://leetcode.cn/problems/relative-sort-array,1164,0.706,easy
https://leetcode.cn/problems/number-of-equivalent-domino-pairs,559,0.543,easy
https://leetcode.cn/problems/largest-unique-number,115,0.672,easy
https://leetcode.cn/problems/armstrong-number,85,0.775,easy
https://leetcode.cn/problems/n-th-tribonacci-number,1577,0.61,easy
https://leetcode.cn/problems/user-activity-for-the-past-30-days-i,398,0.451,easy
https://leetcode.cn/problems/user-activity-for-the-past-30-days-ii,82,0.369,easy
https://leetcode.cn/problems/article-views-i,279,0.705,easy
https://leetcode.cn/problems/check-if-a-number-is-majority-element-in-a-sorted-array,133,0.598,easy
https://leetcode.cn/problems/day-of-the-year,752,0.632,easy
https://leetcode.cn/problems/find-words-that-can-be-formed-by-characters,1085,0.68,easy
https://leetcode.cn/problems/single-row-keyboard,165,0.848,easy
https://leetcode.cn/problems/immediate-food-delivery-i,167,0.764,easy
https://leetcode.cn/problems/prime-arrangements,390,0.566,easy
https://leetcode.cn/problems/diet-plan-performance,101,0.491,easy
https://leetcode.cn/problems/reformat-department-table,300,0.653,easy
https://leetcode.cn/problems/count-substrings-with-only-one-distinct-letter,112,0.788,easy
https://leetcode.cn/problems/distance-between-bus-stops,643,0.616,easy
https://leetcode.cn/problems/day-of-the-week,619,0.638,easy
https://leetcode.cn/problems/maximum-number-of-balloons,845,0.682,easy
https://leetcode.cn/problems/how-many-apples-can-you-put-into-the-basket,87,0.685,easy
https://leetcode.cn/problems/minimum-absolute-difference,647,0.723,easy
https://leetcode.cn/problems/unique-number-of-occurrences,1165,0.733,easy
https://leetcode.cn/problems/queries-quality-and-percentage,216,0.613,easy
https://leetcode.cn/problems/intersection-of-three-sorted-arrays,187,0.783,easy
https://leetcode.cn/problems/minimum-cost-to-move-chips-to-the-same-position,776,0.747,easy
https://leetcode.cn/problems/split-a-string-in-balanced-strings,1392,0.851,easy
https://leetcode.cn/problems/missing-number-in-arithmetic-progression,93,0.543,easy
https://leetcode.cn/problems/check-if-it-is-a-straight-line,635,0.449,easy
https://leetcode.cn/problems/number-of-comments-per-post,98,0.595,easy
https://leetcode.cn/problems/array-transformation,89,0.54,easy
https://leetcode.cn/problems/average-selling-price,298,0.526,easy
https://leetcode.cn/problems/cells-with-odd-values-in-a-matrix,674,0.795,easy
https://leetcode.cn/problems/shift-2d-grid,681,0.654,easy
https://leetcode.cn/problems/minimum-time-visiting-all-points,547,0.828,easy
https://leetcode.cn/problems/hexspeak,70,0.525,easy
https://leetcode.cn/problems/find-winner-on-a-tic-tac-toe-game,296,0.551,easy
https://leetcode.cn/problems/traffic-light-controlled-intersection,27,0.564,easy
https://leetcode.cn/problems/students-and-examinations,286,0.5,easy
https://leetcode.cn/problems/subtract-the-product-and-sum-of-digits-of-an-integer,1103,0.832,easy
https://leetcode.cn/problems/element-appearing-more-than-25-in-sorted-array,367,0.583,easy
https://leetcode.cn/problems/convert-binary-number-in-a-linked-list-to-integer,1043,0.8,easy
https://leetcode.cn/problems/weather-type-in-each-country,140,0.658,easy
https://leetcode.cn/problems/find-numbers-with-even-number-of-digits,797,0.795,easy
